Description	Frames Taken	Total Frames	Slot #1	Slot #2	Slot #3	Slot #4	Slot #5	Slot #6	Slot #7	Slot #8	Slot #9	Slot #10	Slot #11	Slot #12	Slot #13	Slot #14	Slot #15	Slot #16	Slot #17	Slot #18	Slot #19	Slot #20	Shroom Fry	Shroom Roast	Shroom Steak	Honey Shroom	Maple Shroom	Jelly Shroom	Honey Super	Maple Super	Jelly Super	Honey Ultra	Maple Ultra	Jelly Ultra	Zess Dinner	Zess Special	Zess Deluxe	Spaghetti	Koopasta	Spicy Pasta	Ink Pasta	Spicy Soup	Fried Egg	Omelette Meal	Koopa Bun	Healthy Salad	Meteor Meal	Couples Cake	Mousse Cake	Shroom Cake	Choco Cake	Heartful Cake	Fruit Parfait	Mango Delight	Love Pudding	Zess Cookie	Shroom Crepe	Peach Tart	Koopa Tea	Zess Tea	Shroom Broth	Fresh Juice	Inky Sauce	Icicle Pop	Zess Frappe	Snow Bunny	Coco Candy	Honey Candy	Jelly Candy	Electro Pop	Fire Pop	Space Food	Poison Shroom	Trial Stew	Courage Meal	Coconut Bomb	Egg Bomb	Zess Dynamite	Mistake	Dried Bouquet
Use Ice Storm in slot 15 and Honey Syrup in slot 12 to make (and toss) Icicle Pop	105	685	Golden Leaf	Peachy Peach	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Ruin Powder	Spicy Soup	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	True	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Honey Syrup in slot 12 and Life Shroom in slot 11 to make (and toss) Honey Super	113	798	Golden Leaf	Peachy Peach	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Ruin Powder	Spicy Soup	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	True	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Ice Storm in slot 15 and Maple Syrup in slot 13 to make (and toss) Zess Frappe	103	901	Golden Leaf	Peachy Peach	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Ruin Powder	Spicy Soup	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Sort - Reverse Alphabetical	40	941	Jammin Jelly	Hot Sauce	Maple Syrup	Ruin Powder	Hot Dog	Mystic Egg	Fire Flower	Peachy Peach	Volt Shroom	Honey Syrup	Mystery	Slow Shroom	Ice Storm	Life Shroom	Shooting Star	Turtley Leaf	Cake Mix	Golden Leaf	Ultra Shroom	Spicy Soup	False	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Golden Leaf in slot 18 to make (and toss) Zess Tea	27	968	Jammin Jelly	Hot Sauce	Maple Syrup	Ruin Powder	Hot Dog	Mystic Egg	Fire Flower	Peachy Peach	Volt Shroom	Honey Syrup	Mystery	Slow Shroom	Ice Storm	Life Shroom	Shooting Star	Turtley Leaf	Cake Mix	Golden Leaf	Ultra Shroom	Spicy Soup	False	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Mystery in slot 11 to make (and toss) Zess Dinner	41	1009	Jammin Jelly	Hot Sauce	Maple Syrup	Ruin Powder	Hot Dog	Mystic Egg	Fire Flower	Peachy Peach	Volt Shroom	Honey Syrup	Mystery	Slow Shroom	Ice Storm	Life Shroom	Shooting Star	Turtley Leaf	Cake Mix	Golden Leaf	Ultra Shroom	Spicy Soup	False	True	False	False	False	False	True	True	False	False	False	False	True	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Cake Mix in slot 17 and Peachy Peach in slot 8 to make Peach Tart, auto-placed in slot 8	74	1083	Jammin Jelly	Hot Sauce	Maple Syrup	Ruin Powder	Hot Dog	Mystic Egg	Fire Flower	Peach Tart	Volt Shroom	Honey Syrup	Mystery	Slow Shroom	Ice Storm	Life Shroom	Shooting Star	Turtley Leaf	Cake Mix	Golden Leaf	Ultra Shroom	Spicy Soup	False	True	False	False	False	False	True	True	False	False	False	False	True	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Mystery in slot 11 to make Spaghetti, toss Peach Tart in slot 8	55	1138	Jammin Jelly	Hot Sauce	Maple Syrup	Ruin Powder	Hot Dog	Mystic Egg	Fire Flower	Spaghetti	Volt Shroom	Honey Syrup	Mystery	Slow Shroom	Ice Storm	Life Shroom	Shooting Star	Turtley Leaf	Cake Mix	Golden Leaf	Ultra Shroom	Spicy Soup	False	True	False	False	False	False	True	True	False	False	False	False	True	False	False	True	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Golden Leaf in slot 18 and Slow Shroom in slot 12 to make Shroom Broth, toss Spaghetti in slot 8	113	1251	Jammin Jelly	Hot Sauce	Maple Syrup	Ruin Powder	Hot Dog	Mystic Egg	Fire Flower	Shroom Broth	Volt Shroom	Honey Syrup	Mystery	Slow Shroom	Ice Storm	Life Shroom	Shooting Star	Turtley Leaf	Cake Mix	Golden Leaf	Ultra Shroom	Spicy Soup	False	True	False	False	False	False	True	True	False	False	False	False	True	False	False	True	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Mystery in slot 11 to make Zess Cookie, toss Shroom Broth in slot 8	55	1306	Jammin Jelly	Hot Sauce	Maple Syrup	Ruin Powder	Hot Dog	Mystic Egg	Fire Flower	Zess Cookie	Volt Shroom	Honey Syrup	Mystery	Slow Shroom	Ice Storm	Life Shroom	Shooting Star	Turtley Leaf	Cake Mix	Golden Leaf	Ultra Shroom	Spicy Soup	False	True	False	False	False	False	True	True	False	False	False	False	True	False	False	True	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	True	False	True	True	True	True	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Golden Leaf in slot 18 and Turtley Leaf in slot 16 to make Healthy Salad, toss Zess Cookie in slot 8	105	1411	Jammin Jelly	Hot Sauce	Maple Syrup	Ruin Powder	Hot Dog	Mystic Egg	Fire Flower	Healthy Salad	Volt Shroom	Honey Syrup	Mystery	Slow Shroom	Ice Storm	Life Shroom	Shooting Star	Turtley Leaf	Cake Mix	Golden Leaf	Ultra Shroom	Spicy Soup	False	True	False	False	False	False	True	True	False	False	False	False	True	False	False	True	False	False	False	True	True	True	False	True	False	False	False	False	False	False	False	False	False	True	False	True	True	True	True	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Mystery in slot 11 to make (and toss) Honey Shroom	41	1452	Jammin Jelly	Hot Sauce	Maple Syrup	Ruin Powder	Hot Dog	Mystic Egg	Fire Flower	Healthy Salad	Volt Shroom	Honey Syrup	Mystery	Slow Shroom	Ice Storm	Life Shroom	Shooting Star	Turtley Leaf	Cake Mix	Golden Leaf	Ultra Shroom	Spicy Soup	False	True	False	True	False	False	True	True	False	False	False	False	True	False	False	True	False	False	False	True	True	True	False	True	False	False	False	False	False	False	False	False	False	True	False	True	True	True	True	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Ruin Powder in slot 4 and Cake Mix in slot 17 to make Heartful Cake, auto-placed in slot 4	66	1518	Jammin Jelly	Hot Sauce	Maple Syrup	Heartful Cake	Hot Dog	Mystic Egg	Fire Flower	Healthy Salad	Volt Shroom	Honey Syrup	Mystery	Slow Shroom	Ice Storm	Life Shroom	Shooting Star	Turtley Leaf	Cake Mix	Golden Leaf	Ultra Shroom	Spicy Soup	False	True	False	True	False	False	True	True	False	False	False	False	True	False	False	True	False	False	False	True	True	True	False	True	False	False	False	False	False	True	False	False	False	True	False	True	True	True	True	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Ultra Shroom in slot 19 to make Shroom Steak, toss Heartful Cake in slot 4	31	1549	Jammin Jelly	Hot Sauce	Maple Syrup	Shroom Steak	Hot Dog	Mystic Egg	Fire Flower	Healthy Salad	Volt Shroom	Honey Syrup	Mystery	Slow Shroom	Ice Storm	Life Shroom	Shooting Star	Turtley Leaf	Cake Mix	Golden Leaf	Ultra Shroom	Spicy Soup	False	True	True	True	False	False	True	True	False	False	False	False	True	False	False	True	False	False	False	True	True	True	False	True	False	False	False	False	False	True	False	False	False	True	False	True	True	True	True	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Shroom Steak in slot 4 and Healthy Salad in slot 8 to make Zess Deluxe, auto-placed in slot 4	70	1619	Jammin Jelly	Hot Sauce	Maple Syrup	Zess Deluxe	Hot Dog	Mystic Egg	Fire Flower	NULL	Volt Shroom	Honey Syrup	Mystery	Slow Shroom	Ice Storm	Life Shroom	Shooting Star	Turtley Leaf	Cake Mix	Golden Leaf	Ultra Shroom	Spicy Soup	False	True	True	True	False	False	True	True	False	False	False	False	True	False	True	True	False	False	False	True	True	True	False	True	False	False	False	False	False	True	False	False	False	True	False	True	True	True	True	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Cake Mix in slot 17 to make Mousse Cake, auto-placed in slot 8	6	1625	Jammin Jelly	Hot Sauce	Maple Syrup	Zess Deluxe	Hot Dog	Mystic Egg	Fire Flower	Mousse Cake	Volt Shroom	Honey Syrup	Mystery	Slow Shroom	Ice Storm	Life Shroom	Shooting Star	Turtley Leaf	Cake Mix	Golden Leaf	Ultra Shroom	Spicy Soup	False	True	True	True	False	False	True	True	False	False	False	False	True	False	True	True	False	False	False	True	True	True	False	True	False	False	True	False	False	True	False	False	False	True	False	True	True	True	True	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Mystery in slot 11 to make Egg Bomb, toss Zess Deluxe in slot 4	47	1672	Jammin Jelly	Hot Sauce	Maple Syrup	Egg Bomb	Hot Dog	Mystic Egg	Fire Flower	Mousse Cake	Volt Shroom	Honey Syrup	Mystery	Slow Shroom	Ice Storm	Life Shroom	Shooting Star	Turtley Leaf	Cake Mix	Golden Leaf	Ultra Shroom	Spicy Soup	False	True	True	True	False	False	True	True	False	False	False	False	True	False	True	True	False	False	False	True	True	True	False	True	False	False	True	False	False	True	False	False	False	True	False	True	True	True	True	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False
Use Ultra Shroom in slot 19 and Honey Syrup in slot 10 to make Honey Ultra, auto-placed in slot 10	74	1746	Jammin Jelly	Hot Sauce	Maple Syrup	Egg Bomb	Hot Dog	Mystic Egg	Fire Flower	Mousse Cake	Volt Shroom	Honey Ultra	Mystery	Slow Shroom	Ice Storm	Life Shroom	Shooting Star	Turtley Leaf	Cake Mix	Golden Leaf	Ultra Shroom	Spicy Soup	False	True	True	True	False	False	True	True	False	True	False	False	True	False	True	True	False	False	False	True	True	True	False	True	False	False	True	False	False	True	False	False	False	True	False	True	True	True	True	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False
Use Mystery in slot 11 to make Koopasta, toss Honey Ultra in slot 10	59	1805	Jammin Jelly	Hot Sauce	Maple Syrup	Egg Bomb	Hot Dog	Mystic Egg	Fire Flower	Mousse Cake	Volt Shroom	Koopasta	Mystery	Slow Shroom	Ice Storm	Life Shroom	Shooting Star	Turtley Leaf	Cake Mix	Golden Leaf	Ultra Shroom	Spicy Soup	False	True	True	True	False	False	True	True	False	True	False	False	True	False	True	True	True	False	False	True	True	True	False	True	False	False	True	False	False	True	False	False	False	True	False	True	True	True	True	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False
Use Ultra Shroom in slot 19 and Cake Mix in slot 17 to make (and toss) Shroom Crepe	87	1892	Jammin Jelly	Hot Sauce	Maple Syrup	Egg Bomb	Hot Dog	Mystic Egg	Fire Flower	Mousse Cake	Volt Shroom	Koopasta	Mystery	Slow Shroom	Ice Storm	Life Shroom	Shooting Star	Turtley Leaf	Cake Mix	Golden Leaf	Ultra Shroom	Spicy Soup	False	True	True	True	False	False	True	True	False	True	False	False	True	False	True	True	True	False	False	True	True	True	False	True	False	False	True	False	False	True	False	False	False	True	True	True	True	True	True	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False
Use Cake Mix in slot 17 and Life Shroom in slot 14 to make (and toss) Shroom Cake	97	1989	Jammin Jelly	Hot Sauce	Maple Syrup	Egg Bomb	Hot Dog	Mystic Egg	Fire Flower	Mousse Cake	Volt Shroom	Koopasta	Mystery	Slow Shroom	Ice Storm	Life Shroom	Shooting Star	Turtley Leaf	Cake Mix	Golden Leaf	Ultra Shroom	Spicy Soup	False	True	True	True	False	False	True	True	False	True	False	False	True	False	True	True	True	False	False	True	True	True	False	True	False	False	True	True	False	True	False	False	False	True	True	True	True	True	True	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False
Sort - Alphabetical	38	2027	Spicy Soup	Ultra Shroom	Golden Leaf	Cake Mix	Turtley Leaf	Koopasta	Shooting Star	Life Shroom	Ice Storm	Slow Shroom	Mystery	Egg Bomb	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	False	True	True	True	False	False	True	True	False	True	False	False	True	False	True	True	True	False	False	True	True	True	False	True	False	False	True	True	False	True	False	False	False	True	True	True	True	True	True	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False
Use Hot Sauce in slot 19 and Koopasta in slot 6 to make Spicy Pasta, auto-placed in slot 6	66	2093	Spicy Soup	Ultra Shroom	Golden Leaf	Cake Mix	Turtley Leaf	Spicy Pasta	Shooting Star	Life Shroom	Ice Storm	Slow Shroom	Mystery	Egg Bomb	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	False	True	True	True	False	False	True	True	False	True	False	False	True	False	True	True	True	True	False	True	True	True	False	True	False	False	True	True	False	True	False	False	False	True	True	True	True	True	True	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False
Use Jammin Jelly in slot 20 and Life Shroom in slot 8 to make Jelly Super, auto-placed in slot 8	68	2161	Spicy Soup	Ultra Shroom	Golden Leaf	Cake Mix	Turtley Leaf	Spicy Pasta	Shooting Star	Jelly Super	Ice Storm	Slow Shroom	Mystery	Egg Bomb	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	False	True	True	True	False	False	True	True	True	True	False	False	True	False	True	True	True	True	False	True	True	True	False	True	False	False	True	True	False	True	False	False	False	True	True	True	True	True	True	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False
Use Volt Shroom in slot 13 to make Shroom Fry, toss Jelly Super in slot 8	51	2212	Spicy Soup	Ultra Shroom	Golden Leaf	Cake Mix	Turtley Leaf	Spicy Pasta	Shooting Star	Shroom Fry	Ice Storm	Slow Shroom	Mystery	Egg Bomb	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	True	True	True	True	False	False	True	True	True	True	False	False	True	False	True	True	True	True	False	True	True	True	False	True	False	False	True	True	False	True	False	False	False	True	True	True	True	True	True	True	False	True	True	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False
Use Golden Leaf in slot 3 and Ice Storm in slot 9 to make Snow Bunny, auto-placed in slot 3	70	2282	Spicy Soup	Ultra Shroom	Snow Bunny	Cake Mix	Turtley Leaf	Spicy Pasta	Shooting Star	Shroom Fry	NULL	Slow Shroom	Mystery	Egg Bomb	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	True	True	True	True	False	False	True	True	True	True	False	False	True	False	True	True	True	True	False	True	True	True	False	True	False	False	True	True	False	True	False	False	False	True	True	True	True	True	True	True	False	True	True	True	False	True	False	False	True	False	False	False	False	False	True	False	False	False
Use Spicy Soup in slot 1 and Snow Bunny in slot 3 to make Couples Cake, auto-placed in slot 1	56	2338	Couples Cake	Ultra Shroom	NULL	Cake Mix	Turtley Leaf	Spicy Pasta	Shooting Star	Shroom Fry	NULL	Slow Shroom	Mystery	Egg Bomb	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	True	True	True	True	False	False	True	True	True	True	False	False	True	False	True	True	True	True	False	True	True	True	False	True	False	True	True	True	False	True	False	False	False	True	True	True	True	True	True	True	False	True	True	True	False	True	False	False	True	False	False	False	False	False	True	False	False	False
Use Jammin Jelly in slot 20 and Volt Shroom in slot 13 to make Jelly Shroom, auto-placed in slot 3	70	2408	Couples Cake	Ultra Shroom	Jelly Shroom	Cake Mix	Turtley Leaf	Spicy Pasta	Shooting Star	Shroom Fry	NULL	Slow Shroom	Mystery	Egg Bomb	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	True	True	True	True	False	True	True	True	True	True	False	False	True	False	True	True	True	True	False	True	True	True	False	True	False	True	True	True	False	True	False	False	False	True	True	True	True	True	True	True	False	True	True	True	False	True	False	False	True	False	False	False	False	False	True	False	False	False
Use Maple Syrup in slot 18 and Volt Shroom in slot 13 to make Maple Shroom, auto-placed in slot 9	74	2482	Couples Cake	Ultra Shroom	Jelly Shroom	Cake Mix	Turtley Leaf	Spicy Pasta	Shooting Star	Shroom Fry	Maple Shroom	Slow Shroom	Mystery	Egg Bomb	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	True	True	True	True	True	True	True	True	True	True	False	False	True	False	True	True	True	True	False	True	True	True	False	True	False	True	True	True	False	True	False	False	False	True	True	True	True	True	True	True	False	True	True	True	False	True	False	False	True	False	False	False	False	False	True	False	False	False
Use Shooting Star in slot 7 and Shroom Fry in slot 8 to make Meteor Meal, auto-placed in slot 7	76	2558	Couples Cake	Ultra Shroom	Jelly Shroom	Cake Mix	Turtley Leaf	Spicy Pasta	Meteor Meal	NULL	Maple Shroom	Slow Shroom	Mystery	Egg Bomb	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	True	True	True	True	True	True	True	True	True	True	False	False	True	False	True	True	True	True	False	True	True	True	False	True	True	True	True	True	False	True	False	False	False	True	True	True	True	True	True	True	False	True	True	True	False	True	False	False	True	False	False	False	False	False	True	False	False	False
